module	kind	svg	num	flag	method	score	ocr	draft_ref
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	1	check	fuzzy-local-schema	92.3076923076923	Fabrication requirement amm	Fabrication_requirement_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	2	check	fuzzy-local-schema	82.05128205128204	Assenbly_2d_shape_amm	Assembly_2d_shape_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	3	check	fuzzy-local-schema	91.89189189189189	Sequential _ laminate _assenbly_design arm	Sequential_laminate_assembly_design_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	4	check	fuzzy-local-schema	93.47826086956522	Interconnect_physical requirement_allocation_amm	Interconnect_physical_requirement_allocation_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	5	check	fuzzy-local-schema	92.80000000000001	Physical node_requirement_to _implementing_conponent_allocation arm	Physical_node_requirement_to_implementing_component_allocation_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	6	check	fuzzy-local-schema	89.47368421052632	Support resource amm	Support_resource_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	7	check	fuzzy-local-schema	91.30434782608697	Interconnect_2d_shape_am	Interconnect_2d_shape_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	8	check	fuzzy-local-schema	90.32258064516128	Interconnect_non planar_shape_amm	Interconnect_non_planar_shape_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	9	check	fuzzy-local-schema	89.79591836734694	Design_specific_assignment_to_assenbly_usage_view_am	Design_specific_assignment_to_assembly_usage_view_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	10	convention	schema->primary	100	Electrical network definition arm	Electrical_network_definition_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	11	check	fuzzy-local-schema	90.66666666666666	Assenbly_module_ with_ macro_component arm	Assembly_module_with_macro_component_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	12	check	fuzzy-local-schema	90.75630252100841	Ap210 electronic_assenbly_interconnect_and_packaging_design_amm	Ap210_electronic_assembly_interconnect_and_packaging_design_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	13	check	fuzzy-local-schema	90.72164948453609	Functional _deconposition to_ interconnect design amm	Functional_decomposition_to_interconnect_design_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	14	check	fuzzy-local-schema	92.3076923076923	Physical unit interconnect definition amm	Physical_unit_interconnect_definition_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	15	check	fuzzy-local-schema	92.10526315789474	Layered_interconnect_module_2d_design_am	Layered_interconnect_module_2d_design_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	16	check	fuzzy-local-schema	87.5	Via conponent arm	Via_component_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	17	check	fuzzy-local-schema	92.13483146067416	Functional_ decomposition_to_assenbly_design arm	Functional_decomposition_to_assembly_design_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	18	check	fuzzy-local-schema	90.38461538461539	Interconnect_module to_assenbly _module_relationship amm	Interconnect_module_to_assembly_module_relationship_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	19	check	fuzzy-local-schema	90.47619047619048	Assenbly_physical requirement_allocation amm	Assembly_physical_requirement_allocation_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	20	check	fuzzy-local-schema	84.61538461538461	Pre_defined_datum synbol_amm	Pre_defined_datum_symbol_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	21	check	fuzzy-local-schema	91.13924050632912	Assembly_module_with _cable_component_2d_am	Assembly_module_with_cable_component_2d_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	22	check	fuzzy-local-schema	92.85714285714286	Themal network definition arm	Thermal_network_definition_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	23	check	fuzzy-local-schema	92.5	Functional_unit_requirement_allocation_amm	Functional_unit_requirement_allocation_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	24	convention	schema->primary	100	Datum difference_based model arm	Datum_difference_based_model_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	25	check	fuzzy-local-schema	88.23529411764706	Device merking arm	Device_marking_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	26	convention	schema->primary	100	Packaged part_white _box model arm	Packaged_part_white_box_model_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	27	check	fuzzy-local-schema	90.9090909090909	Layered_interconnect_module_3d_design amm	Layered_interconnect_module_3d_design_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	28	check	fuzzy-local-schema	89.36170212765957	Part feature_grouping amm	Part_feature_grouping_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	29	convention	schema->primary	100	Ap242_managed_model_based_3d_engineering arm	Ap242_managed_model_based_3d_engineering_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	30	convention	schema->primary	100	Layout macro definition arm	Layout_macro_definition_arm.required_am_arms
ap210_electronic_assembly_interconnect_and_packaging_design	arm	armexpg1.svg	31	check	fuzzy-local-schema	91.52542372881356	Test _requirement_allocation_amm	Test_requirement_allocation_arm.required_am_arms
