module	kind	svg	num	flag	method	score	ocr	draft_ref
reference_data_library	mim	mimexpg2.svg	5	UNRESOLVED	no-match	0	Symb olization_by_schematic_elemnent_mim.symbolized_iten_select	
reference_data_library	mim	mimexpg2.svg	6	UNRESOLVED	no-match	0	Class_of_involvenent_in_activity_mim.involved_class_select	
reference_data_library	mim	mimexpg2.svg	7	UNRESOLVED	no-match	0	Symb olization_by_schematic_elenent_mim.symbolized_class_select	
reference_schema_for_sysml_mapping	arm	armexpg2.svg	7	UNRESOLVED	no-match	0	General designconnectivtyarm.Contactfeature defnitionftrelationship	
reference_schema_for_sysml_mapping	arm	armexpg2.svg	16	UNRESOLVED	no-match	0	Appearanceassigmentarm.Appearanceassignment	
reference_schema_for_sysml_mapping	arm	armexpg2.svg	26	UNRESOLVED	no-match	0	General designconnectiutyarm.Partcontactfeaturefitrelationship	
requirement_assignment	mim	mimexpg2.svg	2	UNRESOLVED	empty	0		
requirement_identification_and_version	arm	armexpg2.svg	5	UNRESOLVED	empty	0		
requirement_identification_and_version	mim	mimexpg2.svg	4	UNRESOLVED	no-crop	0		
requirement_identification_and_version	mim	mimexpg2.svg	5	UNRESOLVED	no-crop	0		
risk_definition	arm	armexpg2.svg	5	UNRESOLVED	no-match	0	Product version amm. Product version	
risk_management	mim	mimexpg1.svg	1	UNRESOLVED	empty	0		
scan_data_3d_shape	arm	armexpg2.svg	2	UNRESOLVED	no-match	0	Value with unit_ammlength measure	
scan_data_3d_shape	arm	armexpg2.svg	6	UNRESOLVED	no-match	0	Support resource _amlabel	
schematic_and_symbolization	arm	armexpg2.svg	8	UNRESOLVED	no-match	0	Schematic elemnent arm. Implicit_schematic_element_ definition	
schematic_and_symbolization	mim	mimexpg2.svg	6	UNRESOLVED	no-match	0	schenatic drawing mim drawing sheet revision	
schematic_and_symbolization	mim	mimexpg2.svg	7	UNRESOLVED	no-match	0	schenatic_ drawing mim. drawing revision	
schematic_and_symbolization	mim	mimexpg2.svg	8	UNRESOLVED	no-match	0	Schematic_elenent arm. Implicit t_schematic element definition	
schematic_element	mim	mimexpg2.svg	13	UNRESOLVED	no-match	0	class min.class	
scheme	mim	mimexpg2.svg	4	UNRESOLVED	empty	0		
sequential_laminate_assembly_design	arm	armexpg2.svg	10	UNRESOLVED	no-match	0	Fabrication_technology_amm.Stratum_sub_stack	
sequential_laminate_assembly_design	mim	mimexpg2.svg	5	UNRESOLVED	no-match	0	structure_schema.assembly_component_usage product	
